類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
2,81585242,新光創新科技基金,8208181,1.95%,8929693,2.12%,7107868,1.69%,621929,0.15%,200,0.00%,24867871,5.90%
2,73998071,新光店頭基金,5509795,1.51%,5933610,1.63%,7401843,2.03%,705386,0.19%,240,0.00%,19550874,5.35%
2,17604341,新光摩天基金,20296374,2.34%,22778429,2.62%,16051784,1.85%,1505071,0.17%,145,0.00%,60631803,6.98%
5,18036016,新光千里馬基金,2987556,1.26%,3314143,1.40%,3536158,1.49%,353614,0.15%,1384,0.00%,10192855,4.30%
2,18488290,新光新興中小基金,4334481,1.03%,5084813,1.21%,7771979,1.85%,728618,0.17%,160,0.00%,17920051,4.27%
2,13986924,新光大三通基金,16021642,1.25%,15619019,1.22%,17305637,1.35%,1622399,0.13%,170,0.00%,50568867,3.93%
2,1031874,瑞銀小龍基金,685299,2.08%,723582,2.20%,606420,1.84%,60649,0.18%,26039,0.08%,2101989,6.39%
2,92011433,瑞銀強勢基金,1425794,0.68%,1503002,0.72%,1403441,0.67%,131575,0.06%,795,0.00%,4464607,2.14%
6,92029320,瑞銀台灣債券基金,0,0.00%,5322,0.00%,105992218,0.34%,30283490,0.10%,1750671,0.01%,138031701,0.44%
2,19325252,瑞銀鐵木真基金,8968054,2.09%,9687124,2.26%,9322173,2.17%,873954,0.20%,475,0.00%,28851780,6.72%
2,17153269,瑞銀雅典娜基金,3546124,0.00%,3852273,0.00%,3867607,0.00%,362572,0.00%,275,0.00%,11628851,0.00%
5,18493012,瑞銀袋鼠平衡基金,4541529,1.46%,4929133,1.59%,4880586,1.57%,488063,0.16%,10046,0.00%,14849357,4.78%
6,13527822,瑞銀翔鷹債券基金,0,0.00%,0,0.00%,3247080,0.11%,742180,0.03%,194772,0.01%,4184032,0.14%
4,14915461,瑞銀玉寶全球科技生化基金,5250174,0.63%,4236019,0.51%,7396485,0.88%,1151496,0.14%,77582,0.01%,18111756,2.16%
2,92028997,群益中小型股基金,14485631,0.48%,21176867,0.71%,66533869,2.22%,6653386,0.22%,985931,0.03%,109835684,3.66%
6,97978525,群益安穩收益基金,0,0.00%,0,0.00%,191097999,0.35%,49142853,0.09%,8600,0.00%,240249452,0.43%
2,97984293,群益馬拉松基金,18438966,0.37%,19224040,0.39%,97053368,1.96%,9098737,0.18%,584601,0.01%,144399712,2.92%
2,20081352,群益店頭市場基金,21163276,0.89%,24186781,1.02%,49469501,2.08%,4637760,0.19%,1909038,0.08%,101366356,4.26%
2,81591434,群益長安基金,25647334,1.25%,28038997,1.37%,41113341,2.01%,3854390,0.19%,403,0.00%,98654465,4.82%
6,19326652,群益安利基金,0,0.00%,0,0.00%,40045436,0.28%,10011365,0.07%,95657,0.00%,50152458,0.35%
2,19339782,群益創新科技基金,21651056,1.42%,24925258,1.63%,35572839,2.33%,3334952,0.22%,18888,0.00%,85502993,5.59%
5,17147605,群益真善美基金,24489944,0.91%,29839003,1.11%,38513523,1.43%,3851343,0.14%,347864,0.01%,97041677,3.61%
4,17611808,群益全球數位基金,17496897,3.71%,8217149,1.74%,11809438,2.51%,1754550,0.37%,48824,0.01%,39326858,8.34%
6,18038823,群益安信基金,0,0.00%,0,0.00%,103448167,0.27%,24078056,0.06%,5900,0.00%,127532123,0.34%
5,18037845,群益平衡王基金,4725234,0.49%,4998979,0.52%,6915222,0.71%,691516,0.07%,129182,0.01%,17460133,1.80%
2,97972846,德信大發基金,14740705,3.54%,15956851,3.83%,6949987,1.67%,648681,0.16%,176162,0.04%,38472386,9.23%
6,97991040,德信萬年基金,0,0.00%,0,0.00%,58344494,0.25%,18948201,0.08%,0,0.00%,77292695,0.33%
2,81589042,德信跨世紀基金,292592,0.00%,208865,0.00%,155493,0.00%,25045,0.00%,0,0.00%,681995,0.00%
2,73988171,德信全方位基金,6119173,2.48%,6572351,2.66%,5615096,2.28%,546401,0.22%,419,0.00%,18853440,7.64%
2,18033138,德信數位時代基金,11851216,2.24%,12467076,2.36%,10545887,2.00%,992627,0.19%,975,0.00%,35857781,6.78%
5,18040623,德信長春藤基金,4098974,1.77%,4345662,1.87%,2945971,1.27%,294603,0.13%,1000,0.00%,11686210,5.04%
6,14290085,德信萬保基金,220439,0.00%,2330,0.00%,15440140,0.19%,3529172,0.04%,16166,0.00%,19208247,0.23%
2,97982984,金鼎概念型基金,8134052,3.04%,8698870,3.25%,4237379,1.58%,395490,0.15%,71088,0.03%,21536879,8.04%
2,97997635,金鼎大利基金,9437961,1.78%,10582934,2.00%,11866590,2.24%,1038338,0.20%,639,0.00%,32926462,6.22%
6,97998424,金鼎債券基金,0,0.00%,0,0.00%,121572660,0.50%,27788043,0.11%,23905,0.00%,149384608,0.62%
2,20094672,金鼎寶櫃基金,12504625,1.36%,13754242,1.49%,17824763,1.94%,1671061,0.18%,89,0.00%,45754780,4.97%
2,73999260,金鼎行動基金,8500539,3.48%,9295387,3.80%,4780786,1.96%,448211,0.18%,310,0.00%,23025233,9.42%
2,17141335,金鼎科技金融基金,13087019,2.98%,14306888,3.26%,8386562,1.91%,786302,0.18%,405,0.00%,36567176,8.33%
6,17147909,金鼎鼎益基金,0,0.00%,0,0.00%,39295826,0.36%,8981898,0.08%,642296,0.01%,48920020,0.44%
5,13986564,金鼎首選平衡基金,10368285,1.88%,10552076,1.91%,9771585,1.77%,977160,0.18%,90,0.00%,31669196,5.74%
2,18037182,中央國際精鑽基金,9809870,5.21%,11247894,5.97%,3661393,1.94%,343318,0.18%,315,0.00%,25062790,13.31%
6,18044796,中央國際寶鑽債券基金,0,0.00%,0,0.00%,67307042,0.29%,15384464,0.07%,1351379,0.01%,84042885,0.36%
2,15569831,中央國際交銀高科技基金,8307314,0.46%,8335390,0.46%,5105238,0.28%,478615,0.03%,30617,0.00%,22257174,1.24%
2,20084317,日盛日盛基金,32276185,1.85%,35300084,2.02%,33445334,1.91%,3135505,0.18%,795,0.00%,104157903,5.96%
6,81580387,日盛債券基金,0,0.00%,0,0.00%,161898799,0.29%,43173022,0.08%,222448,0.00%,205294269,0.36%
2,81584975,日盛上選基金,35145106,2.28%,38534720,2.50%,28178295,1.83%,2641748,0.17%,869,0.00%,104500738,6.78%
2,73988876,日盛小而美基金,6333988,2.32%,6740478,2.47%,5206043,1.91%,488051,0.18%,475,0.00%,18769035,6.89%
2,17147078,日盛精選五虎基金,10827439,1.91%,11504016,2.03%,9933674,1.75%,931286,0.16%,410,0.00%,33196825,5.86%
2,17607591,日盛高科技基金,29657724,1.25%,32977056,1.39%,58506236,2.46%,5484956,0.23%,235,0.00%,126626207,5.32%
4,18028748,日盛美亞高科技基金,4084613,1.12%,611793,0.17%,8034641,2.21%,1101882,0.30%,3574,0.00%,13836503,3.80%
5,18487383,日盛平衡基金,4177200,1.53%,4789034,1.76%,4608901,1.69%,460879,0.17%,532,0.00%,14036546,5.15%
6,14542316,日盛優益債券基金,0,0.00%,0,0.00%,4325645,0.19%,988721,0.04%,21084,0.00%,5335450,0.23%
4,15739879,日盛美國成長基金,0,0.00%,0,0.00%,774973,0.04%,101853,0.01%,0,0.00%,876826,0.05%
2,20094820,友邦巨人基金,16485762,0.76%,17697752,0.82%,39176544,1.82%,3672803,0.17%,896785,0.04%,77929646,3.61%
6,73992978,友邦巨輪基金,0,0.00%,0,0.00%,30768203,0.19%,8204854,0.05%,258557,0.00%,39231614,0.24%
2,83864570,友邦巨鵬基金,3833184,1.81%,4018796,1.90%,3964743,1.87%,377980,0.18%,102841,0.05%,12297544,5.80%
2,17607889,友邦網路商務基金,7605260,1.53%,7964382,1.60%,9778127,1.97%,916695,0.18%,223491,0.04%,26487955,5.33%
2,81587889,復華復華基金,3199564,0.69%,3195100,0.69%,9326832,2.02%,874499,0.19%,220,0.00%,16596215,3.60%
6,73980446,復華債券基金,1089544,0.00%,105879,0.00%,156225794,0.34%,35708545,0.08%,34763,0.00%,193164525,0.42%
2,73998086,復華高成長基金,12966940,2.15%,14705392,2.43%,14757192,2.44%,1383479,0.23%,725,0.00%,43813728,7.25%
5,17138818,復華傳家基金,3772586,0.06%,2176971,0.04%,62615289,1.07%,7826911,0.13%,1525,0.00%,76393282,1.31%
6,17597405,復華有利基金,561383,0.01%,7821,0.00%,54770119,0.50%,8762997,0.08%,2545,0.00%,64104865,0.58%
2,17608487,復華數位經濟基金,6872313,0.48%,7413568,0.52%,25473792,1.80%,2388172,0.17%,250,0.00%,42148095,2.97%
5,18035945,復華傳家基金二號,3010316,0.25%,3198466,0.26%,15912234,1.32%,1591219,0.13%,375,0.00%,23712610,1.96%
2,18488279,復華中小精選基金,5959024,1.06%,6327826,1.12%,12359437,2.20%,1158685,0.21%,215,0.00%,25805187,4.59%
6,13528619,復華信天翁基金,550515,0.00%,123504,0.00%,69442896,0.35%,15872475,0.08%,2705,0.00%,85992095,0.44%
7,14916692,復華全球債券基金,0,0.00%,0,0.00%,12127431,0.53%,1940389,0.09%,1110,0.00%,14068930,0.62%
2,81588536,大眾大眾基金,9589982,2.91%,10964993,3.32%,9016897,2.73%,847913,0.26%,210,0.00%,30419995,9.22%
6,73987460,大眾債券基金,0,0.00%,0,0.00%,53444694,0.50%,14251909,0.13%,0,0.00%,67696603,0.63%
2,73991154,大眾科技基金,4561805,2.00%,4890068,2.14%,4991948,2.19%,468247,0.21%,225,0.00%,14912293,6.53%
2,17145331,大眾精湛基金,6027307,1.80%,6278803,1.87%,6124673,1.83%,574216,0.17%,260,0.00%,19005259,5.66%
5,18036493,大眾優質平衡基金,2982691,1.34%,3236548,1.45%,3249097,1.46%,406137,0.18%,180,0.00%,9874653,4.42%
2,18496849,大眾創業家基金,8974919,3.21%,9842349,3.52%,5304385,1.90%,497990,0.18%,435,0.00%,24620078,8.81%
6,19291350,大眾駿馬債券基金,0,0.00%,0,0.00%,19358700,0.22%,4424849,0.05%,620,0.00%,23784169,0.28%
2,81588310,聯合創世紀基金,3667631,1.24%,3903987,1.32%,6996359,2.37%,719783,0.24%,68444,0.02%,15356204,5.19%
6,81598540,聯合聯合債券基金,0,0.00%,0,0.00%,62038521,0.36%,14180234,0.08%,2710,0.00%,76221465,0.44%
2,73992013,聯合領航科技基金,1855049,0.68%,1973985,0.72%,8138013,2.98%,837053,0.31%,100,0.00%,12804200,4.69%
2,17140075,聯合哥倫布基金,3971383,1.07%,4241350,1.14%,9005523,2.42%,926287,0.25%,71397,0.02%,18215940,4.89%
4,17612686,聯合新世紀基金,3685201,1.33%,862294,0.31%,7868810,2.85%,1314903,0.48%,312159,0.11%,14043367,5.08%
6,14703494,聯合雙盈債券基金,0,0.00%,0,0.00%,5644194,0.19%,903069,0.03%,1726,0.00%,6548989,0.22%
2,81594690,大華大華基金,24732111,1.74%,25786931,1.82%,18162115,1.28%,1702698,0.12%,984,0.00%,70384839,4.97%
6,73982015,大華債券基金,0,0.00%,0,0.00%,181084951,0.41%,41390847,0.09%,450,0.00%,222476248,0.50%
2,17152509,大華高科技基金,28200437,1.96%,30627420,2.13%,24953401,1.74%,2339376,0.16%,1018,0.00%,86121652,6.00%
4,18031785,大華亞洲科技基金,66036,0.00%,24549,0.00%,130060,0.00%,29710,0.00%,0,0.00%,250355,0.00%
6,18496904,大華安益債券基金,0,0.00%,0,0.00%,6109786,0.56%,1301877,0.12%,39887,0.00%,7451550,0.68%
2,13998344,大華中小基金,22229679,3.63%,23615737,3.86%,17197401,2.81%,1612290,0.26%,410,0.00%,64655517,10.57%
5,14706582,大華趨勢基金,6498070,0.50%,5914387,0.45%,7555254,0.58%,755528,0.06%,1470,0.00%,20724709,1.58%
2,73988051,富鼎富鼎基金,6521241,2.85%,6954910,3.04%,4898491,2.14%,459235,0.20%,220,0.00%,18834097,8.24%
6,83863018,富鼎益利信基金,0,0.00%,0,0.00%,133675461,0.37%,30554393,0.08%,15510,0.00%,164245364,0.45%
2,17141187,富鼎半導體科技基金,13206230,1.84%,14171251,1.97%,13335698,1.86%,1250051,0.17%,455,0.00%,41963685,5.85%
2,17601891,富鼎大三元基金,16887251,2.85%,18388189,3.10%,13505686,2.28%,1266194,0.21%,188179,0.03%,50235499,8.48%
5,18038078,富鼎精穩基金,4719642,1.80%,5261895,2.01%,4538993,1.73%,567379,0.22%,284,0.00%,15088193,5.75%
2,18040102,富鼎新興中小基金,331646,0.00%,394957,0.00%,387474,0.00%,36326,0.00%,0,0.00%,1150403,0.00%
2,18495497,富鼎大台灣基金,1330325,0.00%,1541766,0.00%,1469755,0.00%,138003,0.00%,80,0.00%,4479929,0.00%
6,13537151,富鼎優質債券基金,0,0.00%,0,0.00%,13488400,0.30%,3034887,0.07%,760,0.00%,16524047,0.36%
2,14548769,富鼎寶馬基金,6821262,1.63%,6619545,1.58%,6818889,1.63%,640048,0.15%,390,0.00%,20900134,5.00%
5,15561628,富鼎大不同基金,727035,0.22%,632562,0.20%,1913813,0.59%,191384,0.06%,200,0.00%,3464994,1.07%
4,14708006,富鼎亞美基金,0,0.00%,0,0.00%,1777166,0.10%,256702,0.01%,0,0.00%,2033868,0.11%
2,73982057,金亞太基金,15357831,2.12%,16485615,2.27%,8121938,1.12%,761637,0.10%,1188,0.00%,40728209,5.61%
6,83863973,金亞太債券基金,0,0.00%,0,0.00%,77561892,0.23%,20683173,0.06%,1260544,0.00%,99505609,0.30%
2,17144889,金亞太雙響炮基金,16097942,2.01%,17311573,2.16%,9586759,1.20%,901424,0.11%,1718,0.00%,43899416,5.48%
6,17612692,台育遠流基金,0,0.00%,0,0.00%,61811007,0.64%,14128227,0.15%,450,0.00%,75939684,0.79%
2,18475372,台育高科技基金,4879495,1.89%,5262299,2.04%,3869576,1.50%,381919,0.15%,705,0.00%,14393994,5.57%
2,83863002,傳山永豐基金,8761550,2.16%,9229740,2.27%,7572590,1.86%,709929,0.17%,553,0.00%,26274362,6.47%
6,17142502,傳山永利債券基金,0,0.00%,0,0.00%,57086186,0.36%,15222973,0.09%,18120,0.00%,72327279,0.45%
2,18031960,傳山高科技基金,7192402,1.63%,7744631,1.76%,9501597,2.15%,890871,0.20%,748,0.00%,25330249,5.74%
2,18489707,傳山永盛基金,299894,0.00%,326974,0.00%,183353,0.00%,22496,0.00%,0,0.00%,832717,0.00%
2,19325979,盛華8899成長基金,22107214,6.38%,25484715,7.36%,20240461,5.85%,1734928,0.50%,164,0.00%,69567482,20.09%
6,19341387,盛華1699債券基金,0,0.00%,9124,0.00%,205984503,0.37%,41196911,0.07%,3179,0.00%,247193717,0.44%
2,17602821,盛華2000高科技基金,19123622,2.12%,20659100,2.29%,17193246,1.90%,1611869,0.18%,325,0.00%,58588162,6.48%
2,18034832,盛華8888中小基金,15153429,3.09%,16900297,3.45%,13012209,2.66%,1219933,0.25%,359,0.00%,46286227,9.45%
6,18498728,盛華5599債券基金,0,0.00%,0,0.00%,52373851,0.33%,13966364,0.09%,1740,0.00%,66341955,0.42%
2,14293695,盛華2008華商基金,8800780,1.54%,8481511,1.48%,13214525,2.31%,1238856,0.22%,100,0.00%,31735772,5.56%
5,14932291,盛華6666平衡基金,720556,0.04%,549233,0.03%,4697357,0.23%,512731,0.03%,0,0.00%,6479877,0.32%
2,19330712,倍立寶利基金,10407214,2.73%,11092969,2.91%,8173353,2.15%,766253,0.20%,117690,0.03%,30557479,8.03%
6,17141530,倍立寶元基金,126303,0.00%,14669,0.00%,119133156,0.60%,27230445,0.14%,1108663,0.01%,147613236,0.74%
2,17147915,倍立磐石基金,14747587,1.04%,14539181,1.03%,24459416,1.73%,2293067,0.16%,539262,0.04%,56578513,4.01%
5,17604709,倍立利基基金,11281052,1.60%,12328909,1.75%,11585625,1.64%,1158574,0.16%,484347,0.07%,36838507,5.22%
2,18040665,倍立高科技基金,5259724,1.88%,5724886,2.05%,5994600,2.15%,561989,0.20%,48437,0.02%,17589636,6.30%
5,18039885,倍立安定基金,1651931,0.82%,1837981,0.91%,3113516,1.55%,311348,0.15%,134949,0.07%,7049725,3.51%
4,15560374,倍立全球科技基金,0,0.00%,0,0.00%,6035479,0.35%,972386,0.06%,2690,0.00%,7010555,0.41%
2,19330754,彰銀安泰優質精選基金,26468305,1.06%,27971619,1.13%,44675538,1.80%,4169713,0.17%,511452,0.02%,103796627,4.17%
6,17143431,彰銀安泰債券基金,0,0.00%,0,0.00%,8174392,0.41%,1868437,0.09%,84957,0.00%,10127786,0.51%
2,17146752,彰銀安泰成長精選基金,12755690,0.84%,13770429,0.90%,29712275,1.95%,2599804,0.17%,207584,0.01%,59045782,3.87%
5,17602250,彰銀安泰平衡精選基金,16558110,0.57%,17832450,0.61%,38697252,1.33%,3869721,0.13%,306848,0.01%,77264381,2.65%
2,18037937,彰銀安泰e科技精選基金,7274008,0.86%,7844405,0.93%,18323976,2.16%,1717871,0.20%,67160,0.01%,35227420,4.15%
5,18039196,彰銀安泰平穩精選基金,468569,0.22%,501596,0.23%,2720912,1.26%,272094,0.13%,17294,0.01%,3980465,1.84%
2,18488469,彰銀安泰中小精選基金,2901147,0.88%,2883740,0.87%,5753645,1.74%,539404,0.16%,32476,0.01%,12110412,3.66%
4,14697373,彰銀安泰ING全球品牌基金,7469131,0.54%,650700,0.05%,21686969,1.56%,3614500,0.26%,2638392,0.19%,36059692,2.60%
2,19339447,聯邦價值基金,11127670,2.92%,12040872,3.16%,8903788,2.34%,834745,0.22%,17354,0.00%,32924429,8.64%
6,17144332,聯邦債券基金,0,0.00%,0,0.00%,66027313,0.38%,15091952,0.09%,439864,0.00%,81559129,0.47%
2,17597236,聯邦精選科技基金,13043126,1.74%,13996597,1.87%,16054514,2.15%,1505111,0.20%,38503,0.01%,44637851,5.97%
5,17611820,聯邦雙利基金,10434183,3.06%,11147249,3.27%,5698090,1.67%,569807,0.17%,29996,0.01%,27879325,8.19%
2,18496290,聯邦中國龍基金,8042664,3.25%,8688423,3.51%,4154609,1.68%,389533,0.16%,160,0.00%,21275389,8.59%
6,13984587,聯邦優利債券基金,0,0.00%,0,0.00%,2559676,0.33%,558408,0.07%,2329,0.00%,3120413,0.41%
2,14693572,聯邦台灣創新基金,8227905,1.66%,8209182,1.65%,5511447,1.11%,520445,0.10%,187280,0.04%,22656259,4.56%
2,17597600,阿波羅阿波羅基金,22601388,1.94%,27914398,2.40%,21869256,1.88%,2050245,0.18%,549,0.00%,74435836,6.39%
6,18035966,阿波羅所羅門債券基金,0,0.00%,0,0.00%,45378203,0.37%,10372162,0.08%,4637,0.00%,55755002,0.46%
6,18489951,阿波羅美邦債券基金,0,0.00%,0,0.00%,21493968,0.56%,4912902,0.13%,11549,0.00%,26418419,0.69%
2,18499629,阿波羅諾貝爾基金,3800795,0.00%,4587667,0.00%,2636077,0.00%,247377,0.00%,165,0.00%,11272081,0.00%
6,14705205,阿波羅太陽神債券基金,0,0.00%,0,0.00%,911401,0.08%,182272,0.02%,70,0.00%,1093743,0.09%
2,17604124,德盛台灣大壩基金,13363493,0.94%,14859795,1.05%,31067480,2.19%,2912575,0.21%,359,0.00%,62203702,4.39%
6,18033003,德盛債券大壩基金,0,0.00%,2059,0.00%,60047996,0.33%,16012807,0.09%,40427,0.00%,76103289,0.41%
2,18038149,德盛優選大壩基金,1862640,0.90%,2379538,1.15%,7639360,3.70%,717563,0.35%,360,0.00%,12599461,6.10%
2,18480065,德盛科技大壩基金,2341064,1.11%,2686751,1.28%,4123100,1.96%,386543,0.18%,185,0.00%,9537643,4.54%
4,14693593,德盛全球生技大壩基金,8260556,0.70%,53787,0.00%,13337826,1.13%,2000675,0.17%,2230900,0.19%,25883744,2.20%
2,17612497,國泰國泰基金,29807938,0.88%,33324234,0.99%,66551351,1.97%,6239189,0.18%,4453,0.00%,135927165,4.02%
6,18034853,國泰債券基金,0,0.00%,0,0.00%,76236828,0.26%,17425564,0.06%,3700,0.00%,93666092,0.31%
2,18043059,國泰中小成長基金,9941589,1.26%,10747925,1.36%,13067946,1.65%,1225113,0.15%,281,0.00%,34982854,4.43%
5,18494624,國泰平衡基金,3698934,1.29%,4038039,1.41%,3933289,1.37%,393321,0.14%,4437,0.00%,12068020,4.22%
6,13540374,國泰長利債券基金,0,0.00%,0,0.00%,4345119,1.45%,993171,0.33%,3334,0.00%,5341624,1.78%
2,19291128,國泰大中華基金,17953355,1.90%,18073969,1.91%,17304450,1.83%,1622293,0.17%,195,0.00%,54954262,5.82%
2,14705562,國泰科技生化基金,9972905,0.95%,9355400,0.89%,9159603,0.87%,858709,0.08%,135,0.00%,29346752,2.78%
2,18030218,富達台灣基金,10704386,0.54%,12219429,0.61%,40350745,2.02%,3782882,0.19%,347,0.00%,67057789,3.36%
2,13984165,富達台灣成長基金,2388818,0.37%,2397951,0.37%,7198062,1.12%,674821,0.11%,413,0.00%,12660065,1.97%
2,18492956,蘇黎世媽祖基金,12267799,2.68%,15640235,3.41%,13523101,2.95%,1267785,0.28%,640,0.00%,42699560,9.31%
6,13541747,蘇黎世豐年債券基金,0,0.00%,0,0.00%,1758924,0.75%,402034,0.17%,440,0.00%,2161398,0.92%
2,18434464,蘇黎世飛龍成長基金,7450525,1.70%,7197059,1.65%,8608110,1.97%,807022,0.18%,255,0.00%,24062971,5.50%
5,15578058,蘇黎世平衡基金,0,0.00%,0,0.00%,1045900,0.16%,104586,0.02%,30,0.00%,1150516,0.17%
2,18499732,遠東大聯台灣旗艦基金,30728295,2.49%,36309158,2.95%,31132315,2.53%,2918654,0.24%,350,0.00%,101088772,8.20%
6,13999821,遠東大聯台灣債券基金,0,0.00%,0,0.00%,11031172,0.16%,2521417,0.04%,240,0.00%,13552829,0.20%
2,14545897,遠東大聯科技基金,5721976,0.64%,3756798,0.42%,15082869,1.68%,1414016,0.16%,190,0.00%,25975849,2.89%
2,13539952,凱基開創基金,17473710,1.65%,20342997,1.92%,37690658,3.55%,3533692,0.33%,710,0.00%,79041767,7.45%
2,14541724,凱基創星基金,6094483,0.59%,4715978,0.46%,15198041,1.48%,1424816,0.14%,569,0.00%,27433887,2.68%
6,14703038,凱基凱旋基金,0,0.00%,0,0.00%,14226587,0.11%,3251790,0.03%,0,0.00%,17478377,0.14%
2,15562844,凱基先進基金,1905424,0.35%,1323837,0.24%,3456499,0.63%,324046,0.06%,0,0.00%,7009806,1.28%
2,14293674,玉山登峰基金,19456320,0.77%,17259394,0.68%,51824820,2.04%,4858584,0.19%,1020377,0.04%,94419495,3.71%
6,14553777,玉山新紀元債券基金,0,0.00%,0,0.00%,39720447,0.21%,9078956,0.05%,2760892,0.01%,51560295,0.27%
5,14939180,玉山金典平衡基金,54130,0.00%,19301,0.00%,4999888,0.33%,499985,0.03%,123979,0.01%,5697283,0.37%
2,14694495,中興台灣基金,16756788,0.38%,12291603,0.28%,51936773,1.17%,4869069,0.11%,480,0.00%,85854713,1.93%
6,15566790,中興平安基金,0,0.00%,0,0.00%,5897331,0.07%,1347959,0.02%,4172,0.00%,7249462,0.09%
2,14703109,國票遠見基金,9230495,0.19%,4944864,0.10%,36211827,0.74%,3396770,0.07%,823124,0.02%,54607080,1.12%
2,15733973,第一富蘭克林第一富基金,1845719,0.03%,69000,0.00%,4526997,0.08%,424407,0.01%,86543,0.00%,6952666,0.13%
